Subject,WA_AVG,BVT_AVG,BVC_AVG,BVC_SD,BVT_SD,WA_SD,BVC_NORM,BVC_SD_NORM,BVT_NORM,WA_NORM,RTQ_AVG,RTQ_SD,RTQ_NORM,RTQ_SD_NORM,BR_AVG,WL_AVG,WL_SD,BR_SD,BR_NORM,BR_SD_NORM,WA_SD_NORM,WL_NORM,WL_SD_NORM,Treatment,M_Stress
T091,37319.34706,104.8364012,553.8581141,430.2305533,42.542937,42050.85421,0.97779331,3.094368329,1.208128715,0.933955966,1.108700288,0.573791914,1.084611259,2.587284674,15.49348029,123.4875776,65.43071656,7.259699292,1.644904204,5.52044006,6.271439223,0.767003588,2.77456919,DT,2
T093,8308.122698,51.28080602,216.4212197,91.90323371,9.872058687,5605.674238,0.601249379,0.762654258,0.774462247,1.213354075,0.806044714,0.200393642,1.04224387,1.992370142,15.4330581,105.0833333,35.61857816,3.814278514,1.333138344,1.8141861,2.490429817,0.783304664,1.061669426,DT,2
T094,21110.59249,90.16933696,271.8490251,103.2754754,20.98584105,7222.784451,0.777049052,2.214927565,0.780508609,0.679112246,0.908173039,0.185312979,1.103804738,2.095599599,20.84668879,75.16064257,20.33476737,3.981132434,1.049491833,3.001335704,2.695414454,0.992412368,3.891525102,DT,2
T096,26708.86222,102.4378884,343.80146,208.1820709,36.29902064,16988.69512,1.121262736,1.417015566,1.627545126,0.837326095,0.837871372,0.230752676,1.428743519,2.072925131,18.76860944,85.77078652,26.64508439,4.597971396,1.467531523,1.678992333,0.769506391,0.705061952,0.863368867,DT,2
T098,19269.9045,88.61037852,394.5747575,230.8954323,28.28820263,10756.45265,0.68757413,1.176025153,1.085107332,0.327902647,0.919238867,0.347307294,1.170195065,1.941691425,16.20954682,109.9844237,51.28039433,6.492320391,1.788781631,3.039254661,0.597775356,0.641575805,1.250096597,DT,2
T099,10638.46526,42.70989601,200.1662513,130.3183695,11.74183848,14491.16798,0.573075803,2.036216994,0.886189238,0.264074386,0.940391637,0.436505915,1.0316303,1.963024145,16.39948472,113.1278689,55.32763826,7.80607218,1.925178664,7.71231296,2.162368685,0.63888268,1.955177738,DT,2
T106,47078.41864,153.1649387,609.9074499,265.1397258,43.68592547,13260.71459,0.946553389,0.796372486,1.082770479,0.790235671,0.679171682,0.197022497,0.97562501,0.92131265,15.90392035,101.4151515,32.46727461,3.967367518,1.15672189,1.053648815,0.349132381,0.88077675,0.849455327,DT,2
T112,45988.48998,159.9972833,571.4571566,303.9097098,51.80430261,24682.64231,2.023544189,5.120562842,1.891890479,1.642076463,0.896564174,0.268606211,0.869274517,1.741358491,18.52320953,89.73349633,35.688944,4.97854678,1.001858027,1.532331104,4.811728763,1.070186259,1.766434881,DT,2
T114,9533.716891,49.60170039,191.7100463,103.6838558,15.79159516,7368.892288,0.908611772,2.701695903,1.232904905,0.52181464,1.098049097,0.390852339,1.290937716,2.851708536,18.48859084,98.4244186,50.71732834,7.261116013,1.578458354,4.133930385,1.854102925,0.757110912,2.199670333,DT,2
T121,13206.01637,68.90903782,229.308403,132.4051421,14.16302811,8441.397848,0.493556821,0.776377938,1.244083517,0.360401972,0.862811949,0.163778108,1.071286774,0.604068772,20.84433753,83.69585253,46.22339765,6.075574795,2.778344391,1.905777877,0.596448477,0.398822987,0.646322097,DT,2
T122,21940.37831,80.99477122,340.170913,224.0770069,32.23721399,16618.21711,1.195619497,5.359996234,1.244671493,0.984983168,0.809431099,0.266253793,1.152683728,2.196687445,16.06391748,103.2446809,40.75810262,4.612137918,1.13102084,1.930521795,3.734822708,0.958504995,2.09568624,DT,2
T124,9467.911947,52.24548048,176.3017128,134.7803737,14.46523099,12648.39503,0.65729151,1.106371764,1.047609821,0.686586369,0.899374032,0.215568362,1.123109396,1.461246251,21.46012027,81.56587473,41.00347687,6.955360468,1.628042857,1.125107688,1.694290036,0.603446669,0.60429357,DT,2
T126,33090.94359,145.055915,493.3336107,281.0376378,37.48687167,24627.98572,1.318191465,7.48543118,1.120606397,1.109364635,0.809980575,0.282048426,0.976137871,2.076355645,19.94088994,84.59472422,36.57186271,5.734949262,0.952002445,2.280307712,12.48404744,1.169512316,3.169663746,DT,2
T128,13002.02529,57.96288196,222.6833551,107.5845662,9.63106135,6098.046633,1.173744687,4.507587799,0.907890201,0.888730763,0.77999372,0.243831212,0.929769416,1.384091646,17.48411725,97.66404199,48.49043887,5.188337221,0.863687841,2.634722121,4.019013188,1.308974502,7.092702775,DT,2
T130,6431.490619,45.29053823,211.9515284,118.9372407,12.66746857,7472.099184,1.011668036,0.228453929,1.027574987,0.951427292,0.85127704,0.32478054,1.169997419,0.963399698,15.71091058,115.3855799,53.25818522,6.904648355,1.192174166,2.000120841,0.305617021,0.963688028,1.843499535,DT,2
T132,10336.57563,77.29540451,285.7350096,150.4969429,20.68560424,6647.524234,0.718608394,1.047483453,1.54229068,0.459908569,0.841352368,0.26893511,0.997373885,1.088469389,18.48106743,93.6185567,44.69294386,6.295617444,2.32891303,1.033504888,0.438298262,0.475623489,0.732549716,DT,2
T138,70808.27483,207.54517,880.1068461,620.4814141,83.84802211,57653.15953,0.850248657,2.222122676,0.910853104,0.864653052,0.782724964,0.214558539,1.180293449,1.690538739,16.66890345,104.019943,45.48185839,5.684446968,1.224999161,2.079177954,3.096779826,0.917630247,1.578401241,DT,2
T139,4042.935333,41.53660088,200.3102522,113.8223446,7.747241314,6281.384953,0.97073166,2.121995813,1.1168388,0.994842766,1.003775607,0.356729969,1.196092325,1.664050281,15.18770085,118.5096154,56.03011963,6.459865471,1.317701578,1.928705813,4.220000409,0.869111899,1.824655983,DT,2
T141,17268.01374,78.6366404,307.2006968,192.5835611,24.79846905,11415.55887,0.921970049,1.823816232,0.951860383,0.68621817,0.874344164,0.236296823,1.201350895,1.616214423,17.75687347,97.61081081,47.02276454,5.860519998,1.141721109,1.643053537,1.85920332,0.970929816,1.582283915,DT,2
T145,12999.03153,76.26860091,335.4940394,228.6470682,34.79775164,12710.34262,1.690215721,1.204149751,1.614181811,2.127261076,1.015982754,0.407949186,0.964486639,0.610917591,16.99497139,109.6915584,58.01431064,7.667264931,0.953462645,1.522552508,1.416587135,1.214297695,0.909357662,DT,2
T151,12029.23736,69.89860447,272.7486853,186.1214285,23.06988893,12064.70124,1.3110131,3.27567119,0.958754899,0.929284843,0.96347653,0.288244751,1.223721406,1.273117724,18.31573364,95.19095477,44.82836044,6.107209898,0.850293839,2.668124369,6.029083522,1.359870782,5.708258936,DT,2
T152,14349.53139,57.82773004,244.6898452,78.04511958,8.636048903,4477.732529,1.19227293,4.82061011,1.155094734,1.228703638,0.777302167,0.190615947,1.123261597,2.748076074,14.95407151,106.8968481,32.83934422,3.477768173,1.017160011,2.921144723,2.705409873,1.041999093,3.800603623,DT,2
T154,5487.408055,45.50215916,129.0244936,43.09706973,4.893666909,1539.724109,1.102121674,2.593986888,1.047568165,0.918428575,0.894211506,0.217978537,1.029581151,2.600515334,22.35490421,70.75936884,21.11842971,4.553135913,0.998394822,2.157025425,2.140099424,1.050881715,2.672843922,DT,2
T156,21203.37741,76.02612199,285.4375089,138.0259184,18.26257878,13144.49079,1.262412483,2.277272491,1.302380012,1.533360732,0.732837222,0.158835631,1.076461326,0.981347821,17.09231419,93.67828418,31.60915468,3.931645765,1.070322969,1.258859388,2.699155319,0.971598453,1.202198211,DT,2
T157,19692.48875,87.48588129,305.6860417,124.8958506,19.77070396,6861.671748,0.834777727,2.205234854,0.907853754,0.648645177,0.849098941,0.163290332,1.140208238,1.458126051,18.75534973,89.36829837,39.3677505,4.900345111,1.158574325,1.671045265,1.660794038,0.942469648,2.111981098,DT,2
T162,7328.550505,54.21552231,172.4308752,90.60722893,8.849333331,3586.642521,1.163947855,4.208071059,1.238799273,1.443654609,0.896867058,0.217643024,1.145774061,1.643306002,21.35949094,80.03233256,38.18872509,6.468035628,1.179529401,2.680995134,4.553964356,0.953363209,3.12159033,DT,2
T166,10040.05741,53.81681859,201.4306167,94.29763282,9.886810775,7575.467123,0.610045838,0.22813667,0.791267302,0.443532628,0.847371884,0.269440209,1.085624289,0.91050388,17.69052261,92.77363184,34.46873535,4.962856015,1.135905298,0.950114711,0.205334636,0.888494479,0.428287593,DT,2
T172,4556.742723,41.18352148,129.6385871,51.79524337,4.20176788,2244.43468,0.660514676,0.465952655,0.888294498,0.440703386,0.893143912,0.198942182,1.139480731,0.712570778,20.79157984,78.30172414,28.7928076,4.985012983,1.247520697,0.886987965,0.474424594,0.739769196,0.510707754,DT,2
T173,9128.045613,62.38584858,195.8179037,115.238672,12.81875232,7996.243222,0.89830867,1.309592083,0.894015579,0.596571186,0.887059488,0.198661693,0.974507377,1.706703805,22.13748309,77.64488017,35.98185434,6.823840063,1.104800798,1.46530171,1.484556788,0.989106754,1.597553534,DT,2
T174,5640.520534,40.76990822,172.4066939,69.00636547,4.755152936,3256.477722,0.847897243,1.494529192,1.003633353,0.689242226,0.69792271,0.192322242,1.252341058,1.945376526,15.59240319,105.4338462,38.28003538,4.505283059,1.283200415,2.033750105,1.838852121,0.836776557,1.46963503,DT,2
T175,14046.10538,57.19028977,269.5197972,187.6171148,25.5694927,16665.02435,1.867056277,5.620638166,1.326736681,2.481673834,0.724800533,0.2282824,1.044504545,1.822244729,14.91960401,114.6319018,48.73629401,4.9478031,0.825336392,2.111586853,20.10755818,1.369884104,3.216032132,DT,2
T178,30131.543,66.75137548,364.8802773,673.7781951,106.2511388,90136.78517,0,0,0,0,0.803940681,0.333247098,0,0,12.73110985,128.7142857,41.06213299,4.47717046,0,0,0,0,0,RB,-1
T178,4362.113856,48.63161041,209.4494328,208.0222218,63.25141216,14847.43307,0.574022346,0.308739914,0.728548439,0.144769017,1.104719998,0.52564189,1.374131231,1.577333735,16.66551729,107.0333333,50.33092636,7.662362955,1.309038842,1.711429802,0.16472113,0.831557529,1.225726057,ST,1
T178,30131.543,66.75137548,364.8802773,673.7781951,106.2511388,90136.78517,0,0,0,0,0.803940681,0.333247098,0,0,12.73110985,128.7142857,41.06213299,4.47717046,0,0,0,0,0,RB,-1
T178,4362.113856,48.63161041,209.4494328,208.0222218,63.25141216,14847.43307,0.574022346,0.308739914,0.728548439,0.144769017,1.104719998,0.52564189,1.374131231,1.577333735,16.66551729,107.0333333,50.33092636,7.662362955,1.309038842,1.711429802,0.16472113,0.831557529,1.225726057,ST,1
T178,6229.810592,53.35336965,234.7882324,223.5536004,33.03123614,17027.93788,0.643466493,0.331791088,0.799284948,0.206753786,0.984683871,0.453891825,1.224821549,1.362027839,17.17402811,107.755102,51.70644118,8.503903175,1.348981221,1.899392317,0.188912194,0.837165055,1.259224434,DT,2
T178,6701.882912,42.01886736,225.0166846,100.1033638,5.34673997,4364.879901,0.616686345,0.148570204,0.629483169,0.222420834,0.722740376,0.738250017,0.898997144,2.215323168,12.85587575,132.3157895,52.83259833,7.095660519,1.00980008,1.584853778,0.048425067,1.027980606,1.28665012,PR,0
T178,30131.543,66.75137548,364.8802773,673.7781951,106.2511388,90136.78517,0,0,0,0,0.803940681,0.333247098,0,0,12.73110985,128.7142857,41.06213299,4.47717046,0,0,0,0,0,RB,-1
T178,4362.113856,48.63161041,209.4494328,208.0222218,63.25141216,14847.43307,0.574022346,0.308739914,0.728548439,0.144769017,1.104719998,0.52564189,1.374131231,1.577333735,16.66551729,107.0333333,50.33092636,7.662362955,1.309038842,1.711429802,0.16472113,0.831557529,1.225726057,ST,1
T178,6229.810592,53.35336965,234.7882324,223.5536004,33.03123614,17027.93788,0.643466493,0.331791088,0.799284948,0.206753786,0.984683871,0.453891825,1.224821549,1.362027839,17.17402811,107.755102,51.70644118,8.503903175,1.348981221,1.899392317,0.188912194,0.837165055,1.259224434,DT,2
T178,6701.882912,42.01886736,225.0166846,100.1033638,5.34673997,4364.879901,0.616686345,0.148570204,0.629483169,0.222420834,0.722740376,0.738250017,0.898997144,2.215323168,12.85587575,132.3157895,52.83259833,7.095660519,1.00980008,1.584853778,0.048425067,1.027980606,1.28665012,PR,0
T003,40136.76172,124.6897295,396.5251801,90.88583055,17.58468093,10036.77385,0,0,0,0,0.825138455,0.086058959,0,0,19.16919871,79.575,17.04550732,2.675510008,0,0,0,0,0,RB,-1
T003,47439.66779,173.6766536,679.9278742,465.6798613,47.18109188,35232.22941,1.714715504,5.123789467,1.392870562,1.181950555,0.793773233,0.234369433,0.961987928,2.723358901,17.24911425,99.94736842,46.97163373,6.006286382,0.899834913,2.244912695,3.510314165,1.256014683,2.755660647,ST,1
T003,44019.81271,161.4454902,605.3616128,375.068723,56.05112388,30583.80148,1.526666258,4.126811855,1.294777773,1.096745498,0.813579279,0.208458054,0.985991229,2.422270212,18.03906369,94.01856764,40.70706603,5.402489668,0.941044223,2.019237324,3.047174515,1.181508861,2.38814048,DT,2
T003,85342.83289,152.7035048,1263.72172,418.2982999,20.39771407,19301.702,3.186989838,4.602458902,1.224667865,2.126300908,0.410402307,0.085298562,0.49737387,0.991164223,7.958955608,206,64.06832291,3.755439278,0.415195008,1.403634921,1.923098228,2.588752749,3.758663307,PR,0
T005,20364.215,45.39952304,176.2004865,15.92908178,5.096454456,2455.701724,0,0,0,0,0.601617898,0.092759803,0,0,15.6167714,97.1,12.37799837,1.790597419,0,0,0,0,0,RB,-1
T005,26780.87342,65.62660035,227.1286734,91.94240079,13.62277898,9871.407881,1.28903545,5.771983727,1.445535018,1.315094808,0.773975042,0.135220964,1.286489388,1.457753889,18.52661006,86.33333333,28.75627115,4.141741055,1.1863278,2.31304983,4.019791079,0.889117748,2.323176193,ST,1
T005,31514.76186,62.2672086,301.5679116,281.8839552,36.31696154,37473.87253,1.711504421,17.69618357,1.371538827,1.547555939,0.734998823,0.209902923,1.221703718,2.262865127,15.19076643,116.8251534,58.59579188,5.429103493,0.972721316,3.032006768,15.25994471,1.203142671,4.733866503,DT,2
T005,54434.40874,89.41653829,490.8244358,231.1024504,29.73284501,42041.36439,2.785602047,14.50820918,1.969547966,2.673042332,0.437733696,0.369613777,0.727594205,3.984633052,11.68673628,138.9230769,43.76096688,4.120744229,0.748345223,2.301323674,17.11989855,1.430721698,3.53538315,PR,0
T009,67663.99993,233.4534472,642.0013207,147.1436349,26.71186498,19125.18896,0,0,0,0,0.94511089,0.079897278,0,0,21.71011925,69.34285714,7.46944103,1.85614111,0,0,0,0,0,RB,-1
T009,39277.21501,211.8634676,516.0182272,295.9781173,40.99528678,30284.54925,0.803765056,2.011491136,0.907519123,0.58047433,0.897270298,0.148405067,0.949380975,1.85744835,25.48419323,61.50943396,22.63578678,4.566868307,1.173839394,2.460410085,1.583490198,0.887033452,3.030452571,ST,1
T009,46159.51987,202.9840821,577.0625766,277.3040178,47.03057803,27008.3846,0.898849516,1.884580451,0.869484193,0.682187277,0.927622471,0.226076273,0.981495908,2.82958667,22.75096048,71.1124498,24.81930249,5.319453793,1.047942677,2.865867128,1.412189163,1.025519466,3.322779092,DT,2
T009,72031.2705,340.7497372,1397.713894,788.3398916,90.7081463,31495.11793,2.177119967,5.35762143,1.459604651,1.064543488,0.781038324,0.275948999,0.826398609,3.453797238,18.06406967,101.7222222,55.48567383,8.077496815,0.832057598,4.351768716,1.646787281,1.466945932,7.428356901,PR,0
T011,26732.98934,98.9297812,351.9932397,148.1884411,10.31104525,11102.3084,0,0,0,0,0.697116647,0.200336179,0,0,17.19715966,88.80645161,26.08547087,2.69957911,0,0,0,0,0,RB,-1
T011,39367.62279,135.6381272,436.3988251,103.5498148,27.40307449,9307.562494,1.2397932,0.6987712,1.371054556,1.472623293,0.767084854,0.101700095,1.100368005,0.507647171,18.95882197,79.38461538,12.66443305,1.858630745,1.102439143,0.688489083,0.838344798,0.893905949,0.485497582,ST,1
T011,59832.69678,169.7897966,705.5701521,437.9210399,63.75585961,32751.80997,2.004499157,2.955163282,1.716265765,2.238159602,0.778606496,0.202446779,1.116895572,1.010535288,16.12357831,103.6525424,43.88974894,4.445384787,0.93757217,1.646695506,2.950000018,1.167173561,1.682536196,DT,2
T011,81719.2726,272.7454038,1839.643349,932.6488669,95.19053949,48051.34105,5.226359888,6.293668116,2.756959537,3.05686998,1.237262423,0.419906655,1.774828399,2.0960101,8.985242647,175.8,57.98873923,3.177070185,0.522484109,1.176876119,4.328049568,1.979585906,2.223028272,PR,0
T016,25595.05983,79.90290543,298.807306,57.70009638,9.543304098,4055.357,0,0,0,0,0.792262214,0.146637564,0,0,16.73790569,94.86666667,28.05567846,3.978466282,0,0,0,0,0,RB,-1
T016,16239.63821,65.48556954,188.5331877,29.76906868,5.78864463,2183.702577,0.630952403,0.515927538,0.81956431,0.634483307,0.813168099,0.164347361,1.026387582,1.120772578,21.07109741,72.36956522,12.15974404,2.932398087,1.258884941,0.737067472,0.538473574,0.762855572,0.43341472,ST,1
T016,16153.93933,70.26691938,223.7361731,118.9170045,12.31294248,4909.122138,0.748764065,2.060949842,0.879403809,0.631135049,0.836542299,0.178262943,1.055890694,1.21567038,20.61142865,79.82563025,39.38887272,4.952213566,1.2314222,1.244754439,1.210527739,0.841450776,1.403953669,DT,2
T016,19706.97397,94.64385772,368.465013,165.5103115,22.25603438,7132.951519,1.233119156,2.868458146,1.184485811,0.769952252,0.820745894,0.302511522,1.03595234,2.06298791,17.64006663,98.51612903,44.19592825,7.283778384,1.053899272,1.830800582,1.758896077,1.038469385,1.575293512,PR,0
T019,32682.48442,83.3656793,321.3742348,38.36735339,10.36547616,4971.855978,0,0,0,0,0.714101045,0.091341161,0,0,15.71446653,96.66666667,13.39165801,2.034096536,0,0,0,0,0,RB,-1
T019,26273.55806,85.23501481,275.5493236,68.31090949,17.07763523,6009.130853,0.857409505,1.780443618,1.022423322,0.80390333,0.734031764,0.264255803,1.027910223,2.893063758,19.13335254,81.87804878,19.47118629,4.482841767,1.217562971,2.203849074,1.208629309,0.847014298,1.453978759,ST,1
T019,28299.64028,84.36034915,305.5514875,180.6033728,23.71946213,18184.38775,0.950765352,4.707214777,1.011931407,0.865896237,0.836359613,0.256718524,1.171206258,2.810545879,18.78355987,89.73493976,39.47357447,5.350941009,1.195303693,2.63062294,3.657464703,0.92829248,2.947624144,DT,2
T019,34936.51189,94.93538386,697.9185933,102.6129054,14.46274622,3843.613967,2.171669405,2.674484851,1.138782586,1.068967446,0.521583333,0.132424106,0.730405503,1.449774718,8.155101765,185,44.04270655,2.872426323,0.51895505,1.412138643,0.773074277,1.913793103,3.288816555,PR,0
T031,22715.54792,45.46782204,222.3501234,35.87262261,4.255943544,6227.011546,0,0,0,0,0.722531413,0.126676453,0,0,12.51690505,121.75,19.02086249,2.05247241,0,0,0,0,0,RB,-1
T031,23126.43134,68.87139737,265.3186416,173.7202997,23.42669433,17048.5285,1.193247107,4.842698611,1.514728313,1.018088202,0.830398082,0.23179143,1.149289937,1.829790975,16.70519063,97.43243243,36.22448092,4.549229307,1.334610319,2.216463073,2.737834734,0.800266385,1.90446048,ST,1
T031,27279.53029,75.16094498,344.3344858,224.9012402,29.82712829,21694.95997,1.548613873,6.269439585,1.653057956,1.200918877,0.877101966,0.312803993,1.213929181,2.469314433,15.08199937,114.5843373,58.2341306,5.036427725,1.204930397,2.453834555,3.484008309,0.941144455,3.061592535,DT,2
T032,110294.9609,161.6597969,927.5109604,176.0039686,28.07391075,25328.12695,0,0,0,0,0.70012239,0.136101591,0,0,10.46782652,144.3157895,13.97389857,1.051969632,0,0,0,0,0,RB,-1
T032,98105.20309,183.5906309,1220.361348,591.4440826,56.17457755,50029.178,1.315737927,3.360401968,1.135660408,0.889480374,0.725834758,0.191235754,1.036725533,1.405095652,10.25493844,170.8653846,83.33861548,4.625833072,0.979662628,4.397306663,1.975241916,1.183968748,5.963877228,DT,2
T035,7843.595503,53.66530289,148.8826367,87.93739996,8.22094566,6309.59355,0,0,0,0,0.916214255,0.241110589,0,0,23.79060483,69.35294118,31.89689468,5.964649319,0,0,0,0,0,ST,1
T035,7614.852294,49.98965295,163.3703467,82.05328056,7.144392498,3453.925028,0,0,0,0,0.843079656,0.189766842,0,0,20.57348066,81.45744681,37.20796466,5.492949844,0,0,0,0,0,DT,2
T035,12198.74978,52.69164639,370.4854658,101.3683695,2.558371886,3124.081211,0,0,0,0,0.744395625,0.770613684,0,0,8.384359588,180.6666667,43.83332066,2.894206208,0,0,0,0,0,PR,0
T046,110376.2697,188.5091902,1040.647819,397.7972742,51.43731707,42859.58301,0,0,0,0,1.148367995,0.139705752,0,0,11.13603729,136.5789474,20.47508303,1.559936798,0,0,0,0,0,RB,-1
T046,53177.99187,210.3133533,645.9170622,389.2958653,66.31342684,35989.42778,0.62068747,0.97862879,1.115666313,0.481788269,0.897798876,0.213174565,0.78180416,1.525882518,20.55040989,76.42222222,24.47163711,4.009072656,1.845397007,2.570022492,0.839705505,0.559546136,1.195191105,ST,1
T046,57688.23877,217.1493032,782.3710628,533.3029603,68.1136536,41596.66989,0.751811563,1.340640057,1.151929532,0.522650737,0.900023019,0.192655634,0.783740946,1.379010036,19.49045648,88.56109726,42.24071323,5.931930844,1.750214728,3.802673835,0.970533705,0.648424219,2.063030131,DT,2
T046,60967.32657,165.3461419,973.6464351,549.9175718,25.56215625,19594.02545,0.935615698,1.382406586,0.877125098,0.552359005,0.532418173,0.165231104,0.463630278,1.182707949,9.928707965,154.8571429,76.33616362,4.721264659,0.891583577,3.026574324,0.457167897,1.133828792,3.728246841,PR,0
